Name,Team,Number,Position,Age,Height,Weight,College, Salary 
James Anderson,Sacramento Kings,5,SG,27,6.1,213,Oklahoma State, 1 015 421
Omri Casspi,Sacramento Kings,18,SF,27,6.1,225,, 2 836 186
Kosta Koufos,Sacramento Kings,41,C,27,7.0,265,Ohio State, 7 700 000
Darren Collison,Sacramento Kings,7,PG,28,6.1,175,UCLA, 5 013 559
Rudy Gay,Sacramento Kings,8,SF,29,6.1,230,Connecticut, 12 403 101
Rajon Rondo,Sacramento Kings,9,PG,30,6.1,186,Kentucky, 9 500 000
Marco Belinelli,Sacramento Kings,3,SG,30,6.1,210,, 6 060 606
Caron Butler,Sacramento Kings,31,SF,36,6.1,228,Connecticut, 1 449 187
Kyle Anderson,San Antonio Spurs,1,SF,22,6.1,230,UCLA, 1 142 880
Kawhi Leonard,San Antonio Spurs,2,SF,24,6.1,230,San Diego State, 16 407 500
Jonathon Simmons,San Antonio Spurs,17,SG,26,6.1,195,Houston,  525 093
Boban Marjanovic,San Antonio Spurs,40,C,27,7.3,290,, 1 200 000
Patty Mills,San Antonio Spurs,8,PG,27,6.1,185,Saint Mary's, 3 578 947
Danny Green,San Antonio Spurs,14,SG,28,6.1,215,North Carolina, 10 000 000
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,6.1,240,Texas, 19 689 000
Kevin Martin,San Antonio Spurs,23,SG,33,6.1,199,Western Carolina,  200 600
Tony Parker,San Antonio Spurs,9,PG,34,6.1,185,, 13 437 500
Boris Diaw,San Antonio Spurs,33,C,34,6.1,250,, 7 500 000
David West,San Antonio Spurs,30,PF,35,6.1,250,Xavier, 1 499 187
Matt Bonner,San Antonio Spurs,15,C,36,6.1,235,Florida,  947 276
Manu Ginobili,San Antonio Spurs,20,SG,38,6.1,205,, 2 814 000
Tim Duncan,San Antonio Spurs,21,C,40,6.1,250,Wake Forest, 5 250 000
Andre Miller,San Antonio Spurs,24,PG,40,6.1,200,Utah,  250 750
Bruno Caboclo,Toronto Raptors,20,SF,20,6.1,205,, 1 524 000
Bismack Biyombo,Toronto Raptors,8,C,23,6.1,245,, 2 814 000
Lucas Nogueira,Toronto Raptors,92,C,23,7.0,220,, 1 842 000
Norman Powell,Toronto Raptors,24,SG,23,6.1,215,UCLA,  650 000
Delon Wright,Toronto Raptors,55,PG,24,6.1,190,Utah, 1 509 360
Cory Joseph,Toronto Raptors,6,PG,24,6.1,190,Texas, 7 000 000
Jonas Valanciunas,Toronto Raptors,17,C,24,7.0,255,, 4 660 482
Terrence Ross,Toronto Raptors,31,SF,25,6.1,195,Washington, 3 553 917
DeMar DeRozan,Toronto Raptors,10,SG,26,6.1,220,USC, 10 050 000
Patrick Patterson,Toronto Raptors,54,PF,27,6.1,235,Kentucky, 6 268 675
James Johnson,Toronto Raptors,3,PF,29,6.1,250,Wake Forest, 2 500 000
Jason Thompson,Toronto Raptors,1,PF,29,6.1,250,Rider,  245 177
DeMarre Carroll,Toronto Raptors,5,SF,29,6.1,212,Missouri, 13 600 000
Kyle Lowry,Toronto Raptors,7,PG,30,6.1,205,Villanova, 12 000 000
Luis Scola,Toronto Raptors,4,PF,36,6.1,240,, 2 900 000
Dante Exum,Utah Jazz,11,PG,20,6.1,190,, 3 777 720
Trey Lyles,Utah Jazz,41,PF,20,6.1,234,Kentucky, 2 239 800
Trey Burke,Utah Jazz,3,PG,23,6.1,191,Michigan, 2 658 240
Rudy Gobert,Utah Jazz,27,C,23,7.1,245,, 1 175 880
Rodney Hood,Utah Jazz,5,SG,23,6.1,206,Duke, 1 348 440
Derrick Favors,Utah Jazz,15,PF,24,6.1,265,Georgia Tech, 12 000 000
Alec Burks,Utah Jazz,10,SG,24,6.1,214,Colorado, 9 463 484
Raul Neto,Utah Jazz,25,PG,24,6.1,179,,  900 000
Gordon Hayward,Utah Jazz,20,SF,26,6.1,226,Butler, 15 409 570
Chris Johnson,Utah Jazz,23,SF,26,6.1,206,Dayton,  981 348
Shelvin Mack,Utah Jazz,8,PG,26,6.1,203,Butler, 2 433 333
Tibor Pleiss,Utah Jazz,21,C,26,7.3,256,, 2 900 000
Jeff Withey,Utah Jazz,24,C,26,7.0,231,Kansas,  947 276
Trevor Booker,Utah Jazz,33,PF,28,6.1,228,Clemson, 4 775 000
Joe Ingles,Utah Jazz,2,SF,28,6.1,226,, 2 050 000
Kelly Oubre Jr.,Washington Wizards,12,SF,20,6.1,205,Kansas, 1 920 240
Bradley Beal,Washington Wizards,3,SG,22,6.1,207,Florida, 5 694 674
Otto Porter Jr.,Washington Wizards,22,SF,23,6.1,198,Georgetown, 4 662 960
Jarell Eddie,Washington Wizards,8,SG,24,6.1,218,Virginia Tech,  561 716
John Wall,Washington Wizards,2,PG,25,6.1,195,Kentucky, 15 851 950
Markieff Morris,Washington Wizards,5,PF,26,6.1,245,Kansas, 8 000 000
JJ Hickson,Washington Wizards,21,C,27,6.1,242,North Carolina State,  273 038
Marcus Thornton,Washington Wizards,15,SF,29,6.1,205,LSU,  200 600
Jared Dudley,Washington Wizards,1,SF,30,6.1,225,Boston College, 4 375 000
Ramon Sessions,Washington Wizards,7,PG,30,6.1,190,Nevada, 2 170 465
Garrett Temple,Washington Wizards,17,SG,30,6.1,195,LSU, 1 100 602
Marcin Gortat,Washington Wizards,13,C,32,6.1,240,, 11 217 391
Nene Hilario,Washington Wizards,42,C,33,6.1,250,, 13 000 000
Alan Anderson,Washington Wizards,6,SG,33,6.1,220,Michigan State, 4 000 000
Drew Gooden,Washington Wizards,90,PF,34,6.1,250,Kansas, 3 300 000
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
